,id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,last_updated,lanzamiento,roi_anual,roi_semestral,roi_trimestral,roi_mensual,roi_peso_anual,roi_peso_semestral,roi_peso_trimestral,roi_peso_mensual,mejor_periodo_roi,volatilidad_anualizada,volatilidad_semestral,volatilidad_trimestral,volatilidad_mensual,volatilidad_peso_anualizada,volatilidad_peso_semestral,volatilidad_peso_trimestral,volatilidad_peso_mensual,volumen_promedio,dia_mayor_volumen,crecimiento_capitalizacion,volatilidad_capitalizacion,dominancia
0,bitcoin,btc,Bitcoin,https://assets.coingecko.com/coins/images/1/large/bitcoin.png?1547033579,26044.0,506604532231,1,546544943621,12249680505,26155.0,25575.0,27.47,0.11,339916724.0,0.07,19465362.0,21000000.0,21000000.0,69045.0,-62.34,2021-11-10 14:24:11.849000+00:00,67.81,38241.82,2013-07-06 00:00:00+00:00,2023-08-23 04:58:40.502000+00:00,2009-01-03,216.96,59.49,32.84,8.83,303.59,100.06,45.35,12.21,Anual,0.56,0.39,0.28,0.16,0.5,0.35,0.25,0.14,14554.92,2021-01-04,356.95,297720.05,0.59
1,ethereum,eth,Ethereum,https://assets.coingecko.com/coins/images/279/large/ethereum.png?1595348880,1637.65,196480159473,2,196480159473,10346561588,1666.86,1597.41,-24.99,-1.5,-3313293572.02,-1.66,120214313.22,120214313.22,,4878.26,-66.51,2021-11-10 14:24:19.604000+00:00,0.43,377194.1,2015-10-20 00:00:00+00:00,2023-08-23 04:58:33.955000+00:00,2015-07-30,1217.53,175.96,71.22,13.6,1445.99,234.53,96.47,17.61,Anual,0.73,0.51,0.36,0.21,0.64,0.45,0.32,0.19,9331.17,2021-01-04,2439.53,130562.7,0.26
2,tether,usdt,Tether,https://assets.coingecko.com/coins/images/325/large/Tether.png?1668148663,1.0,82806338674,3,82806338674,21618892425,1.0,1.0,-0.0,-0.06,-10321691.69,-0.01,82853331627.82,82853331627.82,,1.32,-24.48,2018-07-24 00:00:00+00:00,0.57,74.52,2015-03-02 00:00:00+00:00,2023-08-23 04:55:02.066000+00:00,2015-02-10,-1.83,0.47,0.26,0.1,50.42,25.87,12.3,3.97,Semestral,0.04,0.03,0.02,0.01,0.07,0.05,0.03,0.02,26638.45,2021-11-03,276152.97,31376.35,0.06
3,binancecoin,bnb,BNB,https://assets.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1644979850,213.48,32810892015,4,42651388346,792889536,214.43,204.21,4.78,2.29,689177126.0,2.15,153856150.0,153856150.0,200000000.0,686.31,-68.95,2021-05-10 07:24:17.097000+00:00,0.04,535066.23,2017-10-19 00:00:00+00:00,2023-08-23 04:58:37.009000+00:00,2017-07-25,1425.29,910.3,129.23,32.95,1102.35,727.84,118.11,34.01,Anual,0.87,0.62,0.44,0.25,0.72,0.51,0.36,0.21,894.6,2021-02-20,2966.81,28997.15,0.06
4,ripple,xrp,XRP,https://assets.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1605778731,0.52,27528500809,5,52096001936,1144349357,0.52,0.51,0.0,0.06,-12688004.99,-0.05,52841868447.0,99988501123.0,100000000000.0,3.4,-84.67,2018-01-07 00:00:00+00:00,0.0,19298.56,2014-05-22 00:00:00+00:00,2023-08-23 04:58:34.579000+00:00,2012-08-02,3278.63,246.5,129.95,18.89,3883.37,301.45,151.42,23.81,Anual,1.03,0.73,0.52,0.3,0.93,0.65,0.46,0.27,1524.91,2022-07-18,543.58,15949.19,0.04
5,usd-coin,usdc,USD Coin,https://assets.coingecko.com/coins/images/6319/large/USD_Coin_icon.png?1547042389,1.0,25952324758,6,25960770630,4737429332,1.0,1.0,0.0,0.06,-27814514.74,-0.11,25927306120.11,25935743849.97,,1.17,-14.72,2019-05-08 00:40:28.300000+00:00,0.88,13.95,2023-03-11 08:02:13.981000+00:00,2023-08-23 04:58:35.440000+00:00,2018-10-08,-0.11,0.09,-0.0,0.03,48.0,26.4,12.14,3.92,Semestral,0.05,0.03,0.02,0.01,0.07,0.05,0.04,0.02,2467.5,2022-08-10,1047.21,20331.69,0.05
6,staked-ether,steth,Lido Staked Ether,https://assets.coingecko.com/coins/images/13442/large/steth_logo.png?1608607546,1634.69,13621191772,7,13621191772,52463543,1667.91,1601.73,-27.61,-1.66,-152834855.82,-1.11,8328983.82,8328983.82,8328983.82,4829.57,-66.18,2021-11-10 14:40:47.256000+00:00,482.9,238.23,2020-12-22 04:08:21.854000+00:00,2023-08-23 04:58:27.858000+00:00,2020-12-18,97.88,33.79,15.28,4.32,165.22,64.84,30.06,9.11,Anual,0.72,0.51,0.36,0.21,0.64,0.45,0.32,0.18,22.92,2023-01-24,3068.32,4093.33,0.02
7,cardano,ada,Cardano,https://assets.coingecko.com/coins/images/975/large/cardano.png?1547034860,0.26,9074211652,8,11651855661,197391858,0.26,0.25,-0.0,-0.69,-81547165.31,-0.89,35045020830.32,45000000000.0,45000000000.0,3.09,-91.61,2021-09-02 06:00:10.474000+00:00,0.02,1244.65,2020-03-13 02:22:55.044000+00:00,2023-08-23 04:58:32.331000+00:00,2017-09-29,525.42,175.67,48.43,19.14,584.93,224.06,60.55,21.91,Anual,0.86,0.61,0.43,0.25,0.77,0.55,0.39,0.22,956.16,2021-02-28,12.04,18934.93,0.04
8,dogecoin,doge,Dogecoin,https://assets.coingecko.com/coins/images/5/large/dogecoin.png?1547792256,0.06,8818870739,9,8818827492,322190878,0.06,0.06,0.0,0.35,21636658.0,0.25,140702846383.7,140702156383.7,,0.73,-91.43,2021-05-08 05:08:23.458000+00:00,0.0,72082.07,2015-05-06 00:00:00+00:00,2023-08-23 04:58:31.831000+00:00,2013-12-06,702.44,146.75,78.6,17.7,867.78,213.14,106.51,25.06,Anual,2.18,1.54,1.09,0.63,2.0,1.41,1.0,0.58,585.78,2021-04-17,2525.9,10251.08,0.01
9,solana,sol,Solana,https://assets.coingecko.com/coins/images/4128/large/solana.png?1640133422,20.61,8400413379,10,11446623261,443033293,21.19,19.66,-0.4,-1.89,-179864039.93,-2.1,407773092.71,555642294.9,,259.96,-92.07,2021-11-06 21:54:35.825000+00:00,0.5,4017.37,2020-05-11 19:35:23.449000+00:00,2023-08-23 04:58:41.100000+00:00,2020-03-20,2838.48,165.55,103.4,21.87,3500.1,218.54,124.89,26.48,Anual,1.11,0.79,0.56,0.32,0.98,0.69,0.49,0.28,978.99,2021-09-08,1071.85,17131.26,0.04
